reg_number,url,law,purchase_method,status,object_name,customer_name,customer_url,initial_price,region_code,region_name,scraped_at
0319300312226000184,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0319300312226000184,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,"Поставка диагностических реагентов для нужд КГБУЗ ""Кежемская РБ""","КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КЕЖЕМСКАЯ РАЙОННАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=800708,462624.33,61,Ростовская область,2026-04-25T20:37:54.644164
0351300262126000143,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0351300262126000143,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка изделий медицинского назначения (Скальпель, одноразового использования)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""ЧИСТООЗЕРНАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=765486,48784.5,61,Ростовская область,2026-04-25T20:37:54.645690
32615951012,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19704891,223-ФЗ,"223-ФЗ                                    Закупка у единственного поставщика (подрядчика, исполнителя)",Закупка завершена,Поставка запчастей для сельхозтехники,"АКЦИОНЕРНОЕ ОБЩЕСТВО ПЛЕМЕННОЙ РЕПРОДУКТОР ""ЧИСТЮНЬСКИЙ""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=2004,135904.65,61,Ростовская область,2026-04-25T20:37:54.647442
0369200011326000276,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0369200011326000276,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка контейнеров для сбора биоматериала для отделения ВРТ,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=775344,30800.0,61,Ростовская область,2026-04-25T20:37:54.649540
0322200004726000066,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0322200004726000066,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка одноразовой посуды,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КРАЕВОЙ ДЕТСКИЙ ЦЕНТР ""СОЗВЕЗДИЕ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=776033,233739.0,61,Ростовская область,2026-04-25T20:37:54.651168
32615951011,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19704887,223-ФЗ,"223-ФЗ                                    Закупка у единственного поставщика (подрядчика, исполнителя)",Закупка завершена,Поставка запчастей для сельхозтехники,"АКЦИОНЕРНОЕ ОБЩЕСТВО ПЛЕМЕННОЙ РЕПРОДУКТОР ""ЧИСТЮНЬСКИЙ""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=2004,333002.25,61,Ростовская область,2026-04-25T20:37:54.652181
0322200004726000067,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0322200004726000067,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка мешков для мусора,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КРАЕВОЙ ДЕТСКИЙ ЦЕНТР ""СОЗВЕЗДИЕ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=776033,241897.81,61,Ростовская область,2026-04-25T20:37:54.653169
0360300285326000053,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0360300285326000053,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Определение поставщика завершено,Поставка моющих средств,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САРАТОВСКОЙ ОБЛАСТИ ""ВОСКРЕСЕНСКАЯ РАЙОННАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=686289,93417.5,61,Ростовская область,2026-04-25T20:37:54.654071
32615941415,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19704996,223-ФЗ,223-ФЗ                                    Прочие,Подача заявок,"Изготовление и поставка мебели для оснащения помещений общежития №3 по адресу г.Казань, ул.Академика Кирпичникова, д.6 для нужд ФГБОУ ВО Казанский ГМУ Минздрава России","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЗАНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=52840,57040841.0,61,Ростовская область,2026-04-25T20:37:54.654932
0304200022826000096,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0304200022826000096,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Подача заявок,Оказание услуг по организации и проведению Корпоративной лиги среди работающей молодежи в рамках проекта «Любительская футбольная лига «Битва районов»,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МНОГОФУНКЦИОНАЛЬНЫЙ МОЛОДЕЖНЫЙ ЦЕНТР"" КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=1538797,2124550.0,61,Ростовская область,2026-04-25T20:37:54.655991
